[    0.0s] === run started 20260723_040657 ===
[  182.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  183.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  188.2s] CAMERA/LIDAR DISAGREE - lidar=2.32 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  189.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  190.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  191.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  194.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  195.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.60 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  195.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  196.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  197.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  197.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  199.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  200.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  200.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  201.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  201.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  202.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  203.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  203.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  205.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  206.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.73 m  delta=-0.60 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
